15:49:07.5781  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 12:49:07 PM }
15:49:34.3274  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 12:49:34 PM }
15:52:24.7241  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 12:52:24 PM }
15:52:43.5095  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 12:52:43 PM }
15:52:45.6779  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 12:52:45 PM }
15:52:59.5854  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 12:52:59 PM }
15:53:18.8933  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 12:53:18 PM }
15:53:19.9042  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 12:53:19 PM }
15:53:33.4948  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 12:53:33 PM }
15:53:40.7872  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 12:53:40 PM }
15:53:51.8375  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-T, CreatedAt = 9/6/2023 12:53:51 PM }
15:53:55.0086  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-T, CreatedAt = 9/6/2023 12:53:55 PM }
15:53:56.8435  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-T, CreatedAt = 9/6/2023 12:53:56 PM }
15:54:17.7250  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-T, CreatedAt = 9/6/2023 12:54:17 PM }
15:54:38.4573  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-T, CreatedAt = 9/6/2023 12:54:38 PM }
15:54:40.9521  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-T, CreatedAt = 9/6/2023 12:54:40 PM }
15:59:23.4130  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 12:59:23 PM }
15:59:34.7186  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-T, CreatedAt = 9/6/2023 12:59:34 PM }
15:59:40.9879  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-T, CreatedAt = 9/6/2023 12:59:40 PM }
15:59:41.3069  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-T, CreatedAt = 9/6/2023 12:59:41 PM }
16:01:51.7143  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-T, CreatedAt = 9/6/2023 1:01:51 PM }
16:03:46.4392  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 1:03:46 PM }
16:04:36.5448  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 1:04:36 PM }
16:04:49.2701  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 1:04:49 PM }
16:05:21.1757  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-P, CreatedAt = 9/6/2023 1:05:21 PM }
16:56:09.4748  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 1:56:09 PM }
16:59:21.6661  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-T, CreatedAt = 9/6/2023 1:59:21 PM }
16:59:37.5497  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-T, CreatedAt = 9/6/2023 1:59:37 PM }
16:59:41.3924  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 1:59:41 PM }
17:00:07.8887  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 2:00:07 PM }
17:00:09.1246  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 2:00:09 PM }
17:00:09.3779  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 2:00:09 PM }
17:00:10.7934  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 2:00:10 PM }
17:00:13.7769  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-TP, CreatedAt = 9/6/2023 2:00:13 PM }
17:00:39.0658  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-P, CreatedAt = 9/6/2023 2:00:39 PM }
17:00:40.2710  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-P, CreatedAt = 9/6/2023 2:00:40 PM }
