11:27:46.3098  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = CE-T, CreatedAt = 9/14/2023 8:27:46 AM }
11:27:54.1196  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = CE-T, CreatedAt = 9/14/2023 8:27:54 AM }
11:28:42.0942  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = CE-T, CreatedAt = 9/14/2023 8:28:42 AM }
11:28:48.1984  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = CE-T, CreatedAt = 9/14/2023 8:28:48 AM }
11:28:56.0865  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = CE-T, CreatedAt = 9/14/2023 8:28:56 AM }
11:29:00.7154  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = CE-TE, CreatedAt = 9/14/2023 8:29:00 AM }
11:29:09.0959  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = CE-TE, CreatedAt = 9/14/2023 8:29:09 AM }
11:29:13.6942  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = CE-E, CreatedAt = 9/14/2023 8:29:13 AM }
11:29:16.0271  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = FE-T, CreatedAt = 9/14/2023 8:29:16 AM }
11:29:18.2149  WARN  LogDetails { Controller = User, Action = GetUpdateUser, ErrorCode = CE-E, CreatedAt = 9/14/2023 8:29:18 AM }
22:01:20.8263  WARN  LogDetails { Controller = User, Action = DeleteUsers, ErrorCode = VE-T, CreatedAt = 9/14/2023 7:01:20 PM }
22:01:43.6551  WARN  LogDetails { Controller = User, Action = DeleteUsers, ErrorCode = VE-T, CreatedAt = 9/14/2023 7:01:43 PM }
22:19:03.8846  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 7:19:03 PM }
22:19:15.6690  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 7:19:15 PM }
22:19:35.3540  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 7:19:35 PM }
22:19:36.6886  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 7:19:36 PM }
22:19:54.6626  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 7:19:54 PM }
22:19:56.2729  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 7:19:56 PM }
22:19:57.2941  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 7:19:57 PM }
22:22:07.4670  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 7:22:07 PM }
22:22:16.6898  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 7:22:16 PM }
22:22:18.9105  WARN  LogDetails { Controller = User, Action = GetAllUsersWithPaging, ErrorCode = NF-U, CreatedAt = 9/14/2023 7:22:18 PM }
22:23:43.6674  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-T, CreatedAt = 9/14/2023 7:23:43 PM }
22:23:43.9362  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-T, CreatedAt = 9/14/2023 7:23:43 PM }
22:24:05.2513  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-T, CreatedAt = 9/14/2023 7:24:05 PM }
22:24:06.1225  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-T, CreatedAt = 9/14/2023 7:24:06 PM }
22:24:09.8057  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-T, CreatedAt = 9/14/2023 7:24:09 PM }
