12:30:35.3778  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = VE-M-M, CreatedAt = 9/16/2023 9:30:35 AM }
12:30:51.1487  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = VE-M-S, CreatedAt = 9/16/2023 9:30:51 AM }
12:52:14.4211  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = VE-M-S, CreatedAt = 9/16/2023 9:52:14 AM }
12:52:54.6982  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = VE-M-S, CreatedAt = 9/16/2023 9:52:54 AM }
12:53:38.3449  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = VE-M-S, CreatedAt = 9/16/2023 9:53:38 AM }
13:20:00.1474  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = VE-M-S, CreatedAt = 9/16/2023 10:20:00 AM }
13:20:25.5655  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = VE-M-S, CreatedAt = 9/16/2023 10:20:25 AM }
13:20:35.8518  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = VE-M-M, CreatedAt = 9/16/2023 10:20:35 AM }
13:20:40.7673  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = VE-M-S, CreatedAt = 9/16/2023 10:20:40 AM }
13:20:47.2458  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = VE-M-M, CreatedAt = 9/16/2023 10:20:47 AM }
13:21:15.9955  WARN  LogDetails { Controller = Machine, Action = GetMachinesByCondition, ErrorCode = NF-M, CreatedAt = 9/16/2023 10:21:15 AM }
13:36:20.4344  WARN  LogDetails { Controller = Machine, Action = GetSubCategoriesOfMainCategory, ErrorCode = VE-M-M, CreatedAt = 9/16/2023 10:36:20 AM }
13:37:30.0773  WARN  LogDetails { Controller = Machine, Action = GetSubCategoriesOfMainCategory, ErrorCode = VE-M-M, CreatedAt = 9/16/2023 10:37:29 AM }
13:37:40.3105  WARN  LogDetails { Controller = Machine, Action = GetSubCategoriesOfMainCategory, ErrorCode = VE-M-S, CreatedAt = 9/16/2023 10:37:40 AM }
