12:16:13.0108  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-P, CreatedAt = 9/7/2023 9:16:13 AM }
12:21:51.1808  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-P, CreatedAt = 9/7/2023 9:21:51 AM }
12:22:52.4803  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-P, CreatedAt = 9/7/2023 9:22:52 AM }
12:22:53.5805  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = FE-T, CreatedAt = 9/7/2023 9:22:53 AM }
12:22:57.3776  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-P, CreatedAt = 9/7/2023 9:22:57 AM }
12:23:22.8365  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-T, CreatedAt = 9/7/2023 9:23:22 AM }
12:24:06.5750  WARN  LogDetails { Controller = User, Action = Login, ErrorCode = VE-P, CreatedAt = 9/7/2023 9:24:06 AM }
12:26:49.7157  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-P, CreatedAt = 9/7/2023 9:26:49 AM }
12:28:12.0182  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-T, CreatedAt = 9/7/2023 9:28:12 AM }
12:30:07.2422  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-T, CreatedAt = 9/7/2023 9:30:07 AM }
12:31:13.1183  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-T, CreatedAt = 9/7/2023 9:31:13 AM }
12:31:34.3061  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-T, CreatedAt = 9/7/2023 9:31:34 AM }
12:33:07.5888  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 9:33:07 AM }
12:33:15.3640  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 9:33:15 AM }
12:33:20.0104  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 9:33:20 AM }
12:33:23.4905  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 9:33:23 AM }
12:33:32.0497  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 9:33:32 AM }
13:33:02.7597  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 10:33:02 AM }
13:33:24.6448  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 10:33:24 AM }
13:35:45.9438  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-P, CreatedAt = 9/7/2023 10:35:45 AM }
13:35:46.1280  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-P, CreatedAt = 9/7/2023 10:35:46 AM }
13:35:47.5721  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-P, CreatedAt = 9/7/2023 10:35:47 AM }
13:36:01.9552  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-T, CreatedAt = 9/7/2023 10:36:01 AM }
13:36:31.1707  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-T, CreatedAt = 9/7/2023 10:36:31 AM }
13:36:37.5107  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 10:36:37 AM }
13:36:39.1944  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 10:36:39 AM }
13:37:30.6072  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 10:37:30 AM }
13:37:32.0910  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 10:37:32 AM }
13:37:32.8266  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 10:37:32 AM }
13:37:33.4388  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 10:37:33 AM }
13:37:34.0373  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 10:37:34 AM }
13:37:34.5627  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 10:37:34 AM }
13:37:35.1258  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 10:37:35 AM }
13:37:35.6603  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 10:37:35 AM }
13:37:36.1234  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 10:37:36 AM }
13:37:36.6285  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 10:37:36 AM }
13:37:37.1619  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 10:37:37 AM }
13:37:37.7094  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 10:37:37 AM }
13:37:38.2560  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 10:37:38 AM }
13:37:38.8106  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 10:37:38 AM }
13:38:37.6821  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 10:38:37 AM }
13:38:39.6824  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 10:38:39 AM }
13:38:40.2370  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 10:38:40 AM }
13:39:27.4512  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 10:39:27 AM }
13:39:41.1720  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-E, CreatedAt = 9/7/2023 10:39:41 AM }
13:40:43.6300  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-T, CreatedAt = 9/7/2023 10:40:43 AM }
13:42:22.6720  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-T, CreatedAt = 9/7/2023 10:42:22 AM }
13:42:26.1808  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-T, CreatedAt = 9/7/2023 10:42:26 AM }
13:45:58.5284  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-T, CreatedAt = 9/7/2023 10:45:58 AM }
13:46:09.9841  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 10:46:09 AM }
13:46:33.2503  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = FE-P, CreatedAt = 9/7/2023 10:46:33 AM }
13:46:40.7873  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 10:46:40 AM }
13:57:02.7601  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 10:57:02 AM }
13:57:08.4526  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-T, CreatedAt = 9/7/2023 10:57:08 AM }
14:01:28.4909  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-TE, CreatedAt = 9/7/2023 11:01:28 AM }
14:01:35.8676  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-T, CreatedAt = 9/7/2023 11:01:35 AM }
14:02:57.2931  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-T, CreatedAt = 9/7/2023 11:02:57 AM }
14:03:34.1250  WARN  LogDetails { Controller = User, Action = Register, ErrorCode = CE-E, CreatedAt = 9/7/2023 11:03:34 AM }
